name,prediction
Majah Ha Adrif,Start
Haroon al-Afghani,B
Tayyab Agha,Start
Khadija Zahra Ahmadi,Stub
Aziza Ahmadyar,Start
Muqadasa Ahmadzai,Start
Mohammad Sarwar Ahmedzai,Start
Amir Muhammad Akhundzada,Start
Nasrullah Baryalai Arsalai,Start
Abdul Rahim Ayoubi,Start
Ismael Balkhi,Start
Abdul Baqi Turkistani,Stub
Mohammad Ghous Bashiri,Start
Jan Baz,Stub
Bashir Ahmad Bezan,Start
Rafiullah Bidar,Stub
Mohammad Siddiq Chakari,Stub
Cheragh Ali Cheragh,Start
Nasir Ahmad Durrani,Stub
Muhammad Hashim Esmatullahi,Stub
Ezatullah (Nangarhar),Stub
Aimal Faizi,Stub
Gajinder Singh Safri,Stub
Sharif Ghalib,Start
Hashmat Ghani Ahmadzai,C
Abdul Ghani Ghani,Stub
Ghulam Ghaus,Stub
Ghulam Muhammad Ghobar,Stub
Mohammad Gul (Helmand Council),Stub
Sayed Yousuf Halim,Stub
Rangina Hamidi,C
Sayed Zafar Hashemi,Start
Qutbuddin Hilal,Start
Mahboba Hoqomal,Stub
Musa Hotak,Start
Mirza Muhammad Ismail,C
Sayed Jalal,Start
Said Tayeb Jawad,C
Sayed Jalal Karim,Start
Hafizullah Shabaz Khail,Start
Masoud Khalili,GA
Mohammad Khan (athlete),Stub
Samoud Khan,Start
Baran Khan Kudezai,Start
Azizullah Lodin,Start
Razaq Mamoon,Start
Fazel Ahmed Manawi,Start
Moeen Marastial,Start
Ahmad Wali Massoud,Start
Mohammad Daud Miraki,C
Abdul Sattar Mirzakwal,Stub
Abdul Karim Misaq,Stub
Ali Mohammad (politician),Stub
Nasruddin Mohseni,Start
Davood Moradian,Stub
Zalmai Mujadidi,Start
Sardar Mohammad Nadir Naeem,Stub
Daoud Naji,Start
Gholam Rabani Nasher,Stub
Ghulam Faroq Nijrabi,Stub
Zabih-U-llah Ghazi Noristani,Start
Mohammed Tahir Omar,Stub
Mohammed Qalamuddin,Stub
Ghulam Mohammad Rigi,Stub
Ghulam Hassan Safi,Stub
Hanifa Safi,Stub
Mohammed Zia Salehi,Stub
Abdul Majid Samim,Stub
Saber Sangar,Stub
Sayed Nasim Mihanparast,Stub
Suhail Shaheen,Start
Fazal Hadi Shinwari,GA
Baktash Siawash,Stub
Hasan Ali Sultani,Stub
Mohammad Hashem Taufiqui,Start
Pacha Gul Wafadar,Stub
Wahidullah Waissi,C
Ahmadullah Wasiq,Start
Gul Ahmmad Yama,Start
Abdul Salam Zaeef,GA
Abdul Zahir (Konar Education Minister),Stub
Mohammed Zaman,Start
Ziauddin (Afghan militia leader),Start
Qari Ziauddin,Start
Abdul Ghafor Zori,Stub
Ali Pasha of Gusinje,GA
Ylli Asllani,Start
Azis Tahir Ajdonati,Stub
Bislim Bajgora,C
Kastriot Berissa,Start
Bardhok Biba,C
Kostandin Boshnjaku,C
Spartak Braho,Start
Safet Butka,C
Uran Butka,Start
Refo Çapari,Start
Neritan Ceka,Start
Hysni Curri,Start
Ibrahim Dalliu,Start
Niazi Demi,Stub
Abdurrahman Dibra,Start
Bujar Dida,C
Ahmed Dino,Stub
Rasih Dino,Stub
Ferhat Bey Draga,C
Nexhip Draga,GA
Aqif Pasha Elbasani,GA
Abas Ermenji,Start
Qamil Musa Haxhi Feza,Stub
Themistokli Gërmenji,C
Sabri Godo,C
Mihal Grameno,C
Aćif Hadžiahmetović,GA
High Council of Regency,C
Kurt Agë Kadiu,Stub
Mehmed Kalakula,Stub
Alfred Karamuço,Stub
Ibrahim Karbunara,C
