name,url,country
"Majah Ha Adrif","https://en.wikipedia.org/wiki/Majah_Ha_Adrif","Afghanistan"
"Haroon al-Afghani","https://en.wikipedia.org/wiki/Haroon_al-Afghani","Afghanistan"
"Tayyab Agha","https://en.wikipedia.org/wiki/Tayyab_Agha","Afghanistan"
"Khadija Zahra Ahmadi","https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi","Afghanistan"
"Aziza Ahmadyar","https://en.wikipedia.org/wiki/Aziza_Ahmadyar","Afghanistan"
"Muqadasa Ahmadzai","https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai","Afghanistan"
"Mohammad Sarwar Ahmedzai","https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai","Afghanistan"
"Amir Muhammad Akhundzada","https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada","Afghanistan"
"Nasrullah Baryalai Arsalai","https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai","Afghanistan"
"Abdul Rahim Ayoubi","https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi","Afghanistan"
"Ismael Balkhi","https://en.wikipedia.org/wiki/Ismael_Balkhi","Afghanistan"
"Abdul Baqi Turkistani","https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani","Afghanistan"
"Mohammad Ghous Bashiri","https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri","Afghanistan"
"Jan Baz","https://en.wikipedia.org/wiki/Jan_Baz","Afghanistan"
"Bashir Ahmad Bezan","https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan","Afghanistan"
"Rafiullah Bidar","https://en.wikipedia.org/wiki/Rafiullah_Bidar","Afghanistan"
"Mohammad Siddiq Chakari","https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari","Afghanistan"
"Cheragh Ali Cheragh","https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh","Afghanistan"
"Nasir Ahmad Durrani","https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani","Afghanistan"
"Muhammad Hashim Esmatullahi","https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi","Afghanistan"
"Ezatullah (Nangarhar)","https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar)","Afghanistan"
"Aimal Faizi","https://en.wikipedia.org/wiki/Aimal_Faizi","Afghanistan"
"Gajinder Singh Safri","https://en.wikipedia.org/wiki/Gajinder_Singh_Safri","Afghanistan"
"Sharif Ghalib","https://en.wikipedia.org/wiki/Sharif_Ghalib","Afghanistan"
"Hashmat Ghani Ahmadzai","https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai","Afghanistan"
"Abdul Ghani Ghani","https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani","Afghanistan"
"Ghulam Ghaus","https://en.wikipedia.org/wiki/Ghulam_Ghaus","Afghanistan"
"Ghulam Muhammad Ghobar","https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar","Afghanistan"
"Mohammad Gul (Helmand Council)","https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council)","Afghanistan"
"Sayed Yousuf Halim","https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim","Afghanistan"
