country,region,population,article_title,revision_id,article_quality
Afghanistan,Afghanistan,42.4,Majah Ha Adrif,1259527188,Start
Afghanistan,Afghanistan,42.4,Haroon al-Afghani,1115434187,B
Afghanistan,Afghanistan,42.4,Tayyab Agha,1109801593,Start
Afghanistan,Afghanistan,42.4,Khadija Zahra Ahmadi,1279625773,Stub
Afghanistan,Afghanistan,42.4,Aziza Ahmadyar,1136528840,Start
Afghanistan,Afghanistan,42.4,Muqadasa Ahmadzai,1195114836,Start
Afghanistan,Afghanistan,42.4,Mohammad Sarwar Ahmedzai,1296454205,Start
Afghanistan,Afghanistan,42.4,Amir Muhammad Akhundzada,1209684445,Start
Afghanistan,Afghanistan,42.4,Nasrullah Baryalai Arsalai,1189311256,Start
Afghanistan,Afghanistan,42.4,Abdul Rahim Ayoubi,1206805453,Start
Afghanistan,Afghanistan,42.4,Ismael Balkhi,1227414510,Start
Afghanistan,Afghanistan,42.4,Abdul Baqi Turkistani,1232417761,Stub
Afghanistan,Afghanistan,42.4,Mohammad Ghous Bashiri,1137125223,Start
Afghanistan,Afghanistan,42.4,Jan Baz,1082899670,Stub
Afghanistan,Afghanistan,42.4,Bashir Ahmad Bezan,1101599699,Start
Afghanistan,Afghanistan,42.4,Rafiullah Bidar,1036839735,Stub
Afghanistan,Afghanistan,42.4,Mohammad Siddiq Chakari,1110299779,Stub
Afghanistan,Afghanistan,42.4,Cheragh Ali Cheragh,1042276245,Start
Afghanistan,Afghanistan,42.4,Nasir Ahmad Durrani,1039128738,Stub
Afghanistan,Afghanistan,42.4,Muhammad Hashim Esmatullahi,1018459964,Stub
Afghanistan,Afghanistan,42.4,Ezatullah (Nangarhar),1185272507,Stub
Afghanistan,Afghanistan,42.4,Aimal Faizi,1222880520,Stub
Afghanistan,Afghanistan,42.4,Gajinder Singh Safri,1269920696,Stub
Afghanistan,Afghanistan,42.4,Sharif Ghalib,1181924950,Start
Afghanistan,Afghanistan,42.4,Hashmat Ghani Ahmadzai,1189708041,C
Afghanistan,Afghanistan,42.4,Abdul Ghani Ghani,1257585074,Stub
Afghanistan,Afghanistan,42.4,Ghulam Ghaus,1077840308,Stub
Afghanistan,Afghanistan,42.4,Ghulam Muhammad Ghobar,1266584166,Stub
Afghanistan,Afghanistan,42.4,Mohammad Gul (Helmand Council),1140736221,Stub
Afghanistan,Afghanistan,42.4,Sayed Yousuf Halim,1264219116,Stub
Afghanistan,Afghanistan,42.4,Rangina Hamidi,1124172829,C
Afghanistan,Afghanistan,42.4,Sayed Zafar Hashemi,1275230547,Start
Afghanistan,Afghanistan,42.4,Qutbuddin Hilal,1028245851,Start
Afghanistan,Afghanistan,42.4,Mahboba Hoqomal,1276386104,Stub
Afghanistan,Afghanistan,42.4,Musa Hotak,1216231167,Start
Afghanistan,Afghanistan,42.4,Mirza Muhammad Ismail,1056912772,C
Afghanistan,Afghanistan,42.4,Sayed Jalal,1186430306,Start
Afghanistan,Afghanistan,42.4,Said Tayeb Jawad,1166904114,C
Afghanistan,Afghanistan,42.4,Sayed Jalal Karim,1007184681,Start
Afghanistan,Afghanistan,42.4,Hafizullah Shabaz Khail,1176533944,Start
Afghanistan,Afghanistan,42.4,Masoud Khalili,1198055513,GA
Afghanistan,Afghanistan,42.4,Mohammad Khan (athlete),1089617621,Stub
Afghanistan,Afghanistan,42.4,Samoud Khan,1035155401,Start
